strategy,decision_date,execution_date,ticker,name,regime_date,regime_key,regime_name,cash_weight,stock_weight,current_qty,current_close,current_portfolio_weight_at_close,target_sleeve_weight,target_portfolio_weight,delta_portfolio_weight,target_value_at_close,delta_value_at_close,indicative_qty_change_at_close,side
A5,2026-05-04,2026-05-06,117460,KODEX 에너지화학,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,581.1144151721008,18975.0,0.09579488715215935,0.11011873070264075,0.10461279416750871,0.00881790701534936,12041647.373533089,1015001.3456424754,53.49150701673125,BUY
A5,2026-05-04,2026-05-06,117680,KODEX 철강,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,644.0233459739849,17765.0,0.0993952704170558,0.09568005994199287,0.09089605694489322,-0.008499213472162578,10462757.199873513,-978317.5413543284,-55.06994322287241,SELL
A5,2026-05-04,2026-05-06,139260,TIGER 200 IT,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,121.61254982264397,124335.0,0.13136228368363226,0.11028022005169652,0.10476620904911169,-0.026596074634520572,12059306.474609744,-3061389.9075886942,-24.622108879950893,SELL
A5,2026-05-04,2026-05-06,139270,TIGER 200 금융,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,583.3724850445519,16910.0,0.0857015045027296,0.09427807557869447,0.08956417179975974,0.0038626672970301368,10309448.119589664,444619.3974862918,26.293281932956347,BUY
A5,2026-05-04,2026-05-06,227550,TIGER 200 산업재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,656.8941748717646,16605.0,0.09476177511543174,0.09568005994199287,0.09089605694489322,-0.003865718170538518,10462757.199873513,-444970.5738721378,-26.797384755925194,SELL
A5,2026-05-04,2026-05-06,266390,KODEX 경기소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,893.7727265305984,12330.0,0.09573904068649072,0.09821395450078321,0.09330325677574405,-0.0024357839107466694,10739842.34754981,-280375.3705724701,-22.739283906931885,SELL
A5,2026-05-04,2026-05-06,266410,KODEX 필수소비재,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,1051.763393972593,10225.0,0.09342869117011354,0.10049162982892106,0.095467048337475,0.0020383571673614626,10988909.54036821,234628.83699844778,22.946585525520565,BUY
A5,2026-05-04,2026-05-06,266420,KODEX 헬스케어,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,482.60084444079956,21135.0,0.08861132417143014,0.08936143852918732,0.08489336660272795,-0.0037179575687021904,9771806.52822692,-427962.31902937964,-20.248985996185457,SELL
A5,2026-05-04,2026-05-06,315270,TIGER 200 커뮤니케이션서비스,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,434.0102360078874,22610.0,0.08525099009930422,0.09821395450078321,0.09330325677574405,0.008052266676439837,10739842.34754981,926870.9114114754,40.993848359640666,BUY
A5,2026-05-04,2026-05-06,476800,KODEX 한국부동산리츠인프라,2025-12-12,DRAI_RISK_ON,DRAI Risk-On,0.05,0.95,2072.7018786643425,4805.0,0.08652251401921497,0.10768187642330777,0.10229778260214238,0.01577526858292741,11775173.725088563,1815841.198106397,377.9065969003948,BUY
